,decision_id,decision_description,contract_id,contract_description
36,D.1/2010.,"a ""kmrft-céde-027/2009. regisztrációs számú, ""korszerű taneszköz- és műszaki eszközbeszerzés a puskás ferenc általános iskolában"" c. pályázat keretében korszerű taneszköz- és műszaki eszköz beszerzése",431007,vas lajos általános iskola udvarán korszerű műfüves sportpálya építés és játszóudvar felújítása
37,D.1/2014.,csongrád város belvíz elvezető rendszerének fejlesztése,578566,"a csongrád-bokros, gyójtai u. 1. sz. alatt létesítendő iii. sz. idősek klubja"
38,D.10/2010.,"műholdas dth fta műsorszórás, szolgáltatási szerződés",7687,biztosítási szerződés
39,D.10/2011.,hatósági vetőmag fémzárolási cimke beszerzése,25610,eljárás eredményéről szóló tájékoztató mezőgazdasági szakigazgatási hivatal központ szőlő szaporítóanyag jelölő címke és kötegzár beszerzése
40,D.10/2013.,önálló vízellátó rendszerhez kapcsolódó tervezői és generálkivitelezői feladatok ellátása,462928,egyösszegű fix átalányáras vállalkozási szerződés a kiskőrös és térsége ivóvízminőség-javító önkormányzati társulás ivóvízminőség-javító beruházásának keretében tabdi község önálló vízellátó rendszeréhez kapcsolódóan
41,D.10/2014.,irodaszerek beszerzése 2011. évben - kbt. mellőzése,564825,vállalkozási szerződés - bkisz projekt - csatornázás ii. tender kiviteli tervezésére és kivitelezésére
42,D.100/15-I./2009.,"városközponti buszváró építésének kivitelezése, a buszváró terének kialakítása és a város különböző területén meglévő 8 db megállóhely felújítása",456194,csapadékvíz elvezetés tervezése és kivitelezése
43,D.100/2011.,hivatásforgalmi célú kerékpárút létesítése hajdúszoboszló és nagyhegyes között,21113,hajdúszoboszlón belterületi útfelújítás.
44,D.100/2012.,"nemzeti adó- és vámhivatal, budapest, dózsa györgy út 128-132. szám alatti irodaházának takarítása",11413,"nemzeti adó-és vámhivatal ""er rendszer kialakításához 1 fő oracle hrms szakértői erőforrás, tanácsadás"" beszerzése"
45,D.1000/15/2011.,a budapesti közlekedési zrt köztéri reklámlehetőségeinek hasznosítása,11635,„dunai hivatásforgalmi vízi közlekedés kialakítása budapesten” tárgyú eu-s finanszírozású projekthez vízi létesítmények építése
46,D.1000/2010.,bme informatikai épület teljes körű üzemeltetése,25947,bme g épület hőellátásának korszerűsítése
47,D.1001/2010.,"szennyvízcsatorna és szennyvíztisztító telep építése, nagydorog",23873,béri balogh ádám művelődési ház és könyvtár korszerűsítése és akadálymentesítése
48,D.1004/2010.,vállalkozási szerződés a bevándorlási és állampolgársági hivatal hét székhelyén élőerős őrzés-védelmi és portaszolgálati tevékenység ellátására,29391,a bevándorlási és állampolgársági hivatal hét megyei  városában működő regionális igazgatóságainak illetve ügyfélszolgálati irodájának takarítása - eredménytájékoztató
49,D.1005/2010.,stratégiai zajtérképek és zajcsökkentési intézkedési tervek készítése székesfehérvár  város közigazgatási területére,23063,"a „iv. sz. bölcsőde bővítése és fejlesztése” című projekt kiviteli terveinek elkészítése az engedélyes tervek alapján, továbbá részletes tételes költségvetés készítése"
50,D.1005/2011.,ekg hozzáférési hálózati szolgáltatás nyújtása,15367,regio-kom térségi kommunális szolgáltató társulás - pr kommunikációs feladatok ellátása
51,D.1006/2010.,"orvosi gázhálózat üzemeltetése, karbantartása, javítása, valamint a 4/2009. (iii.17.) eüm erndelet szerinti orvostechnikai eszközök felülvizsgálata",25340,"oktatástechnikai, híradástechnikai és ezekhez az eszközökhöz kapcsolódó világítástechnikai eszközök üzemeltetésére és karbantartására"
52,D.1006/2011.,"em-418 takarítási szolgáltatás végzése a debreceni egyetem tudományegyetemi karok műszaki kar ""a"" és ""b"" épületében, valamint borsos józsef kollégiumában",15258,tájékoztató az eljárás eredményéről (debreceni egyetem hallgatói klub és tanulmányi központ tervezési munkái)
53,D.1007/2011.,zsóry-fürdő üdülőterület szennyvízcsatornázása,45459,tájékoztató az eljárás eredményéről - beruházási hitel felvétele a zsóry-fürdő üdülőterület szennyvíz-csatornázásának megvalósításához
54,D.1009/2011.,hiemer-font-caraffa épülettömb iii. ütem épületében takarítási szolgáltatás ellátása,15201,"tájékoztató a ""hiemer-font-caraffa épülettömb iii. ütem bútor-eszköz beszerzése"" tárgyú közbeszerzési eljárás eredményéről"
55,D.101/2012.,tiszta víz ivóvízminőség-javító önkormányzati társulás - a keop 1.3.0/09-11 pályázat projektmenedzsment szervezet feladatainak teljes körű ellátása,44787,a keop-1.3.0/09-11 pályázat projektmenedzsment szervezet feladatainak teljes körű ellátása
56,D.101/2013.,2014-2020-as operatív programok ex-ante értékelése és stratégiai környezeti vizsgálata - vállalkozási szerződés 1. rész,2703,vállalkozási szerződés
57,D.101/2014.,"vállalkozási szerződés a keop-1.2.0/09-11-2011-0019 azonosító számú marcali város csatornahálózatának és szennyvíztisztító telepének fejlesztése "" projekt keretében csatornahálózat fejlesztése",591578,vállalkozási szerződés a keop-1.2.0/09-11-2011-0019 azonosító számú marcali város csatornahálózatának és szennyvíztisztító telepének fejlesztése  projekt keretében csatornahálózat fejlesztése fidic piros könyv és szennyvíztisztító telep fejlesztése és fidic sárga könyv alapján.
58,D.1010/2010.,vállalkozási szerződés a bme informatikai épületének teljes körű üzemeltetésére 1. rész - műszaki üzemeltetés,28007,"bme k műemléképület tetőszerkezetének felújítása, d2 ütem (d2-2, d2-3 szakaszok)"
59,D.1011/2010.,nagybajomi integrált közoktatási hálózat fejlesztése - eszközbeszerzés ii.,21188,ady endre gimnázium informatikai infrastruktúrájának fejlesztése - tájékoztató az eljárás eredményéről
60,D.1011/2011.,zsóry-fürdő üdülőterület szennyvízcsatornázása,45459,tájékoztató az eljárás eredményéről - beruházási hitel felvétele a zsóry-fürdő üdülőterület szennyvíz-csatornázásának megvalósításához
61,D.102/2011.,vállalkozási szerződés budapest központi szennyvíztisztító telep és kapcsolódó létesítményei - col 4 - csepeli főművi rendszer és kapcsolódó öblözetei 2. rész ,21061,"vállalkozási szerződés keretében budapest xiv. kerületben útépítés 2 helyszínen, gyalogos-átkelőhely létesítése 2 helyszínen, és parkolási helyzet rendezése 1 helyszínen az ajánlati dokumentációban részletesen meghatározottak szerint."
62,D.102/2013.,storage beszerzés és kapcsolódó szolgáltatások nyújtása- 2. rész,465826,actividentity + cms public key infrastructure (pki) licence követés és kapcsolódó támogatási szolgáltatások nyújtása.
63,D.103/2010.,"megbízási szerződés, gödöllő város önkormányzatánál megvalósításra kerülő 3 db építési projekt költésgszámítására, műszaki tanácsadásra és műszaki ellenőrzésre",438706,göd város közigazgatási területén az önkormányzat tulajdonában és kezelésében lévő közutak építése
64,D.104/2010.,informatikai eszközök beszerzése tiop pályázat keretében - hódmezővásárhely,434133,informatikai eszközök beszerzése támop pályázat keretében
65,D.104/2013.,"egészségügyi textíliák mosatása, fertőtlenítése, vegytisztítása 1 és 2. rész ",468355,radar berendezések felújítása 2012-2014. években
66,D.105/2011.,"vállalkozási szerződés budapest, központi szennyvíztisztító telep és kapcsolódó létesítményei - col 3 - tehermentesítő gyűjtőcsatornák és kapcsolódó létesítményei",7804,bkszt col4 tehermentesítő gyűjtőcsatornák - eredmény
67,D.106/2010.,"wesselényi miklós középiskola szakiskola és kollégium oktatási épületének átalakítása, bővítése és rekonstrukciója, valamint új tornaterem építése",43781,"tájékoztató az eljárás eredményéről - wesselényi miklós középiskola szakiskola és kollégium oktatási épületének átalakítása, bővítése és rekonstrukciója, valamint új tornaterem építése"
68,D.106/2011.,budapesti központi szennyvíztisztító telep és kapcsolódó létesítményei - col 4 - csepeli főművi rendszer és kapcsolódó öblözetei 3. rész,8576,"a budapesti központi szennyvíztisztító telepen keletkező szennyvíziszap átvétele, elszállítása és ártalmatlanítása/hasznosítása két éves időtartamra"
69,D.107/2011.,"kiegészítő beruházás a ""műemléki idegenforgalmi és infrastruktúrális fejlesztés a kisnánai várban"" építési beruházáshoz",24605,játszótér létesítése ganna község önkormányzata részére
70,D.107/2012. ,"báh befogadó állomás debrecen objektumának őrzés-védelme, valamint portaszolgálat biztosítása",13141,"báh befogadó állomás, debrecen objektumának őrzés- védelme, valamint portaszolgálat biztosítása"
72,D.109/2011.,vállalkozási szerződés émop-5.1.2. számú projekt keretében a borsod volán zrt. kazincbarcikai autóbusz-állomásának bővítése és épületrekonstrukciója,21053,a borsod volán zrt. részére autóbuszok beszerzése (2010/1.) - (er-ké)
73,D.109/2012.,"1094 budapest, márton utca 5/a. szám alatti lakóépület felújítása",429442,"1094 budapest, márton u. 5/a. sz. lakóépület felújítása"
74,D.109/2013.,"megbízási szerződés - az nmhh által, versenyeztetési eljárás keretében lefolytatandó frekvenciahasználati jog értékesítéséhez kapcsolódó feladatok ellátása egyes részei tárgyában",566769,"megbízási szerződés - az nmhh által, versenyeztetési eljárás keretében lefolytatandó frekvenciahasználati jog értékesítéséhez kapcsolódó feladatok ellátása egyes részei tárgyában."
75,D.11/2010.,légiforgalmi irányító központ (ans iii épület) kivitelezési munkálatai,447269,légiforgalmi szolgáltatáshoz kapcsolódó repülésbiztonság-oktatási rendszer fejlesztése
76,D.11/2012., a budapet i. kerület kapucinus u. 9. (hrsz.: 14292/2) műemléki védelem alatt álló (műemléki törzsszám: 15125) lakóépület felújítás teljes körű kivitelezése,13841,"te- budapest, i. kerület pala u. 8. sz. műemlék épület  (hrsz.14313, műemléki törzsszám m 15139) utcai emeletes szárny homlokzat és tető felújítási, épületszigetelési és lakás összevonási munkáinak elvégzése"
77,D.11/2014.,irodaszerek beszerzése 2012. évben - kbt. mellőzése,564825,vállalkozási szerződés - bkisz projekt - csatornázás ii. tender kiviteli tervezésére és kivitelezésére
78,D.110/2010.,"""esélyteremtés pest megye délkeleti perifériáján"" - a tápiószőlősi házi árpád általános iskola felújítása és ikt eszközparkjának bővítése",442572,eszközbeszerzés a tápiószőlősi házi árpád általános iskola részére a kmop-4.6.1/b 2-2008-0043 projekt keretei között
79,D.110/2011.,hang és fénytechnikai eszközök beszerzése,9437,„dombrád tiop és támop pályázat keretein belül beszerzendő eszközök beszerzése.”
80,D.110/2012.,béri balog ádám általános iskola felújítása,45766,központi orvosi ügyeleti szolgáltatás ellátása a kőszegi kistérségben megbízási szerződés keretében- tájékoztató az eljárás eredményéről
81,D.110/2013.,építési szerződés: 1432617716 azonosító számú mvh határozat alapján építési feladatok elvégzése,555509,vállalkozói szerződés
82,D.111/2010.,"budapest xviii. kerület fenntartásában működő óvodák, általános- és középiskolák, valamint szociális intézmények közétkeztetési feladatainak ellátása",10105,"budapest, xviii. kerület fenntartásában működő óvodák, általános,- és középiskolák, valamint szociális intézmények közétkeztetési feladatainak ellátása"
83,D.111/2013.,szállítási szerződés - támop - 5.3.8-11/a1-2012-0001-rév - számítástechnikai eszközök beszerzése,577732,szállítási szerződés - támop-5.3.8-11/a1-2012-0001-rév - számítástechnikai eszközök beszerzése
84,D.112/2010.,"a magyar állam tulajdonában álló, és az állami vagyonkörbe tartozó termőföldek értékbecslése",434502,a magyar nemzeti bank részére villamos energia szállítása
85,D.112/2012.,semmelweis egyetem részére könyvvizsgálói feladatok ellátása,429337,"tájékoztató a semmelweis egyetem részére ""könyvvizsgálói fladatok ellátására"" tárgyú eljárás eredményéről"
86,D.112/2013.,"az érdi kincses óvoda kutyavári tagóvodájának férőhelybővítése, felújítása című, kmop-4.6.1-11-2012-0009 számú pályázat keretében tervezési feladatok ellátása",571927,"megbízási szerződés az eger, ipari park 9847. hrsz. és környékének kármentesítése keop-2.4.0/f/09-11-2011-0008 számú projekthez kapcsolódó projektmenedzseri feladatok ellátására"
87,D.113/2010.,"18 db azonos típusú, legalább 70 %%-ban alacsony padlós, normál-nyomtávolságú, légkondicionált közúti csuklós villamos jármű, valamint karbantartási eszközök, tartalék alkatrészek szállítása debrecenbe és kapcsolódó szolgáltatások",437946,"18 db új azonos típusú, legalább 70 %-ban alacsony padlós, normál-nyomtávolságú, légkondicionált közúti csuklós villamos jármű, valamint karbantartási eszközök, tartalék alkatrészek debrecenbe történő szállítása és kapcsolódó szolgáltatások"
88,D.113/2011.,szállítási szerződések villamos mérőműszerek és napelemes rendszer iii. rész tárgyában,17511,tájékoztató az eljárás eredményéről - szállítási szerződés mérőműszerek beszerzése tárgyában
89,D.113/2013.,"az érdi szivárvány óvoda meseház tagóvodájának férőhelybővítése, újjáépítése című, kmop-4.6.1-11-2012-0010 azonosítójú pályázat keretében tervezési feladatok ellátása",589919,"megbízási szerződés a keop-1.3.0/b/2f/09-11-2011-0002 azonosítószámú, szekszárd megyei jogú város hosszú távon egészséges ivóvízzel való ellátása című pályázat megvalósításához szükséges projektmenedzsment feladatok ellátására."
90,D.114/2011.,"iskola bővítés rekonstrukció tunyogmatolcson, éaop-4.1.1/b-09-2010-0004 pályázathoz kapcsolódó építési munkák",16575,iskola bővítés rekonstrukció tunyogmatolcson. tájékoztató az eljárás eredményéről
91,D.115/2012.,vállalkozási keretszerződés alapján zöldfelület gazdálkodási feladatok ellátása budapest főváros xii. kerület közigazgatási területén,45625,"budapest x. kerület, új köztemető előtt megvalósítandó körforgalomhoz csatlakozó terület rendezésére (szerviz utak, járdák, zöldfelület) vonatkozó kiviteli tervdokumentáció és költségvetés elkészítése"
92,D.115/2013.,100 lakásos passzívház teljes körű megépítése,460293,„parkolási övezet bővítése” (táj.er.)
93,D.116/2011.,tiszaroff község belterületi csapadék és belvíz-elvezető rendszer i. szakasz kivitelezése,17084,tájékoztató az eljárás eredményéről ké-33261/2010. számú hirdetmény hiánypótlása.
94,D.116/2012.,"a széchenyi istván egyetemen az audi intézet kutató-oktató laborhátterének fejlesztése (""sze-audi gyakorlati tudástér"") iv. rész",13852,tájékoztató az eljárás eredményéről üzemanyag-beszerzés tárgyában
95,D.116/2013.,"közszolgáltatási szerződés szentgotthárd város közigazgatási területén a keletkező települési szilárd hulladék összegyűjtésére, elszállítására és ártalommentes elhelyezésére",460995,szentgotthárd város önkormányzata polgármesteri hivatal - földgáz
96,D.117/2010.,"oep hálózati eszközök szállítása, implementálása és rendszerbe integrálása",436972,"oep zorp tűzfal rendszereinek fejlesztése, licencbővítése és supportja"
97,D.117/2012.,"építési szerződés: vállalkozási szerződés az ""úrkút község szennyvízelvezetése és tisztítása"" elnevezésű projekt úrkút község szennyvíztisztító telep tervezése és építése a fidic sárga könyvének szerződési feltételei szerint",13310,megbízási szerződés az „úrkút község szennyvízelvezetése és –tisztítása” elnevezésű projekt megvalósításához szükséges fidic szerinti mérnöki és műszaki ellenőri tevékenység ellátására. keop-7.1.2.0-2010-0039
98,D.118/16-I/2009.,közvetlen marketing szolgáltatások,456464,magyar nemzeti bank kommunikációjához kapcsolódó reklámügynökségi szolgáltatások nyújtása
99,D.118/2010,"budapest corvinus egyetem budai campusa műemléki besoroláső kollégiumi épületéhez tartozó könyvtár funkciójú épületrész felújítása, belsőépítészeti, gépészeti és elektromos kivitelezési munkák elvégzése 1450m2-en",437988,"a bce budai campusa műemléki besorolású kollégiumi épületéhez tartozó „könyvtár” funkciójú épületrész felújítását és átalakítását lefedő építészeti-, belsőépítészeti-, gépészeti és elektromos kivitelezési munkák elvégzésére mintegy"
100,D.119/2010.,"a magyar állam tulajdonában álló, és az állami vagyonkörbe tartozó termőföldek értékbecslése",434502,a magyar nemzeti bank részére villamos energia szállítása
101,D.119/2011.,a tiop-1.1.1-9/1-2010-0139 számú projektben eszközbeszerzés,22771,támop 3.1.9/08/01-2009-0001 program keretében tesztjavítási szolgáltatás
104,D.12/2014.,"vállalkozási szerződés keretében a bkk zrt. nyomtatási igényeit a teljes telephelyi struktúra tekintetében kielégíteni képes, egységes üzemeltetésű, költséghatékonyan fenntartható nyomtatási infrastruktúra kialakítása",2703,vállalkozási szerződés
105,D.120/2010.,kerékpárút-hálózat fejlesztése a szarvast orosházával összekötő 4404 jelű út mentén,446566,szarvas fő téri általános iskola infrastruktúrájának fejlesztése
106,D.120/2012.,béri balog ádám általános iskola felújítása,45766,központi orvosi ügyeleti szolgáltatás ellátása a kőszegi kistérségben megbízási szerződés keretében- tájékoztató az eljárás eredményéről
107,D.120/2013.,"gödöllő, petőfi sándor általános iskola tornaterem felújításának kiegészítő építési beruházása",462161,"gödöllő, petőfi sándor általános iskola tornatermének bővítése körébe tartozó kivitelezési munkák elvégzése"
109,D.121/2011.,"közforgalmú autóbuszvonalak alvállalkozásban történő üzemeltetése 40 darab midi autóbusszal, évi 2,3 millió vonali kocsikilométer + 150 %% teljesítményben",17756,midi alvállalkozás - tájékoztató az eljárás eredményéről
110,D.121/2012.,"renault típusú személy, és kishaszon gépjárművek karbantartása, javítása",14678,"„a bkv zrt. üzemeltetésében lévő tüzelő és hőtermelő berendezések karbantartása, eseti javítása”"
111,D.121/2014.,"tolna megyei balassa jános kórház tiop 2.2.4. támogatással megvalósuló új hotelszárny építésével, valamint a meglévő műtő- és diagnosztikai tömb átalakításával kapcsolatos áruszállítás ",586723,építési szerződés a kecskeméti gyógyintézeti központ - hatékony egészségügyi rendszer bács-kiskun megyei modellje című tiop-2.2.7/07/2f/2-2009-0004 azonosító jelű projekt keretén belül a kecskeméti gyógyintézeti központ kialakítása építési beruházáshoz kapcsolódó új építési munkák megvalósítására
112,D.122/2013.,központi orvosi ügyelet ellátása,462590,győr város 2012. évi karácsonyi díszkivilágítása
113,D.122/2014.,fejér megyei hírlapban fehérvár plusz címen heti egy teljes oldal (1/1) szerkesztett sajtóanyag (hirdetés) megjelenítése az ajánlatkérő által meghatározott tartalommal és formában,568908,egyesített szociális intézmény részére szociális étkeztetés biztosítása a gondozási központok által ellátott ellátási területenkénti bontásban.
114,D.123/2010.,iskolatej beszerzése 2010 évre,441626,"siófok város kincstára papír, irószer és tisztítószer beszerzése"
115,D.123/2012.,többfunkciós közösségi ház felújítása és bővítése kivitelezésére vállalkozási szerződés,16021,tájékoztató az eljárás eredményéről villamos energia beszerzés
117,D.124/11/2009.,szombathely megyei jogú város szennyvízelvezetési és –tisztítási rendszerének fejlesztése projekt pénzmaradványának felhasználását célzó építési munkák tervezésére és kivitelezésére,450214,"szombathely megyei jogú város polgármesteri hivatala és telephelyei részére telefonalközpont szállítása, installálása és üzemeltetése a szerződés időtartama alatt."
118,D.124/15//2012.,a szombathelyi paragvári utcai általános iskola felújítása és fejlesztése,45074,"eljárás eredményéről szóló tájékoztató - szombathely, belterületi utak, járdák burkolat felújítása, új út építése, egyéb csatornaépítés 2011. ii."
119,D.124/2010.,"új magyarország fejlesztési terv közép-dunántúli regionális operatív program támogatási rendszeréhez benyújtott segítő pályázati program, segítő, esélyteremtő, gondoskodó, infrastruktúra-fejlesztést támogató ötlet",438859,a dél-alföldi operatív program keretében „közösségi közlekedés fejlesztése” c. kiírásra benyújtandó pályázat és az előírás szerinti megvalósíthatósági tanulmány elkészítése
120,D.124/2013.,a séd-sárvízi malomcsatorna hosszú távú fejlesztési programja tárgyú projekt keretében a kivitelezés során felmerült kiegészítő építési beruházások elvégzése,590733,"felsőcsatár, pornóapáti pinka rehabilitáció tárgyú projekt megvalósítása során az építési (kibvitelezési) munkák elvégzése"
121,D.125/11/2009.,biztonsági berendezések szerelése és karbantartása,456403,"a ""pécs 2010 - európa kulturális fővárosa"" projekt keretében a közterek és parkok felújítása i. ütem"
